CourseID,Rule,Num_Violations
6hrs per day,PTPGDLANED1P_YR2_2024/5,14.0
6hrs per day,UTMATMU_YR1_2024/5,14.0
6hrs per day,UTCOSCS_YR4_2024/5,14.0
6hrs per day,UTPYCHL_YR3_2024/5,14.0
6hrs per day,UTPYCHL_YR4_2024/5,14.0
6hrs per day,UTARASA_YR4_2024/5,14.0
6hrs per day,UTARCSA_YR3_2024/5,14.0
6hrs per day,UTARCSA_YR4_2024/5,14.0
6hrs per day,UTSANDE_YR3_2024/5,14.0
6hrs per day,UTSANDE_YR4_2024/5,14.0
6hrs per day,UTSANPY_YR3_2024/5,14.0
6hrs per day,UTSANPY_YR4_2024/5,14.0
6hrs per day,PTMSCBIOTE1F_YR1_2024/5,14.0
6hrs per day,PTPGDBIOTE1F_YR1_2024/5,14.0
6hrs per day,PTMSCSOASU1P_YR2_2024/5,14.0
6hrs per day,PTMSCSOASU2P_YR2_2024/5,14.0
6hrs per day,UTPGDECHIN1F_YR1_2024/5,15.0
6hrs per day,UTPGDEENGL1F_YR1_2024/5,15.0
6hrs per day,UTPGDEFREN1F_YR1_2024/5,15.0
6hrs per day,UTPGDEGEOG1F_YR1_2024/5,15.0
6hrs per day,UTPGDEGERM1F_YR1_2024/5,15.0
6hrs per day,UTPGDEHIST1F_YR1_2024/5,15.0
6hrs per day,UTPGDEMATH1F_YR1_2024/5,15.0
6hrs per day,UTBSCECOLM1F_YR1_2024/5,15.0
6hrs per day,UTMAHBUSEI1F_YR4_2024/5,15.0
6hrs per day,UTMAHBUSSE1F_YR3_2024/5,15.0
6hrs per day,UTSLUHSMAH_YR1_2024/5,15.0
6hrs per day,PTMSCCSPTR1P_YR1_2024/5,15.0
6hrs per day,PTMSCCSPTR1P_YR2_2024/5,15.0
6hrs per day,PTMSCCSPTR2P_YR1_2024/5,15.0
6hrs per day,PTMSCCSPTR2P_YR2_2024/5,15.0
6hrs per day,PTMSCCSPTR3P_YR1_2024/5,15.0
6hrs per day,PTMSCCSPTR3P_YR2_2024/5,15.0
