Rule,CourseID,Num_Violations
Clash,PTMSCENGLA1F_YR1_2024/5,2.0
Clash,PTMSCENSOS1F_YR1_2024/5,4.0
Clash,PTMSCENSOS1P_YR1_2024/5,2.0
Clash,PTMSCENSOS1P_YR2_2024/5,2.0
Clash,PTMSCENTIN1F_YR1_2024/5,1.0
Clash,PTMSCENVCS1F_YR1_2024/5,2.0
Clash,PTMSCENVCS1P_YR1_2024/5,1.0
Clash,PTMSCENVCS1P_YR2_2024/5,2.0
Clash,PTMSCENVDE1F_YR1_2024/5,6.0
6hrs per day,PTMSCENVDE1F_YR1_2024/5,26.0
Clash,PTMSCENVDE1P_YR1_2024/5,1.0
Clash,PTMSCENVDE1P_YR2_2024/5,5.0
6hrs per day,PTMSCENVDE1P_YR2_2024/5,10.0
Clash,PTMSCENVDE2P_YR1_2024/5,1.0
6hrs per day,PTMSCENVDE2P_YR2_2024/5,3.0
Clash,PTMSCENVDE2P_YR2_2024/5,4.0
Clash,PTMSCENVPM1F_YR1_2024/5,8.0
6hrs per day,PTMSCENVPM1F_YR1_2024/5,39.0
Clash,PTMSCENVPM1P_YR1_2024/5,8.0
6hrs per day,PTMSCENVPM1P_YR1_2024/5,39.0
Clash,PTMSCENVPM1P_YR2_2024/5,7.0
6hrs per day,PTMSCENVPM1P_YR2_2024/5,30.0
6hrs per day,PTMSCENVPM2P_YR1_2024/5,4.0
Clash,PTMSCENVPM2P_YR1_2024/5,4.0
6hrs per day,PTMSCENVPM2P_YR2_2024/5,5.0
Clash,PTMSCENVPM2P_YR2_2024/5,5.0
Clash,PTMSCENVSS1F_YR1_2024/5,5.0
6hrs per day,PTMSCENVSS1F_YR1_2024/5,17.0
Clash,PTMSCENVSS1P_YR1_2024/5,4.0
6hrs per day,PTMSCENVSS1P_YR1_2024/5,13.0
Clash,PTMSCENVSS1P_YR2_2024/5,5.0
6hrs per day,PTMSCENVSS1P_YR2_2024/5,13.0
Clash,PTMSCENVSS2P_YR1_2024/5,4.0
6hrs per day,PTMSCENVSS2P_YR1_2024/5,13.0
Clash,PTMSCENVSS2P_YR2_2024/5,4.0
6hrs per day,PTMSCENVSS2P_YR2_2024/5,9.0
Clash,PTMSCENVSS2P_YR3_2024/5,5.0
6hrs per day,PTMSCENVSS2P_YR3_2024/5,13.0
Clash,PTMSCEOBGM1F_YR1_2024/5,5.0
6hrs per day,PTMSCEOBGM1F_YR1_2024/5,15.0
Clash,PTMSCEOBGM1P_YR1_2024/5,2.0
Clash,PTMSCEOBGM1P_YR2_2024/5,2.0
Clash,PTMSCEOBGM2P_YR1_2024/5,2.0
Clash,PTMSCEOBGM2P_YR2_2024/5,2.0
Clash,PTMSCEPHOE1F_YR1_2024/5,5.0
Clash,PTMSCEPHOE1P_YR1_2024/5,5.0
Clash,PTMSCEPHOE1P_YR2_2024/5,5.0
Clash,PTMSCEPHOE2P_YR1_2024/5,5.0
Clash,PTMSCEPHOE2P_YR2_2024/5,5.0
Clash,PTMSCEPHOE2P_YR3_2024/5,5.0
Clash,PTMSCEUARC1F_YR1_2024/5,1.0
Clash,PTMSCEUARC1P_YR1_2024/5,1.0
Clash,PTMSCEUARC1P_YR2_2024/5,1.0
Clash,PTMSCEVOGE1F_YR1_2024/5,4.0
Clash,PTMSCEVOGE1P_YR1_2024/5,4.0
Clash,PTMSCEVOGE1P_YR2_2024/5,1.0
Clash,PTMSCEVOLC1F_YR1_2024/5,2.0
Clash,PTMSCFILEC1F_YR1_2024/5,2.0
Clash,PTMSCFILEC1P_YR2_2024/5,2.0
Clash,PTMSCFINAN1F_YR1_2024/5,2.0
Clash,PTMSCFINMO1F_YR1_2024/5,3.0
6hrs per day,PTMSCFINMO1F_YR1_2024/5,4.0
Clash,PTMSCFINMO1P_YR1_2024/5,1.0
Clash,PTMSCFINMO1P_YR2_2024/5,3.0
Clash,PTMSCFITEP1F_YR1_2024/5,1.0
Clash,PTMSCFLMST1F_YR1_2024/5,3.0
Clash,PTMSCFLMST1P_YR1_2024/5,2.0
Clash,PTMSCFLMST1P_YR2_2024/5,2.0
Clash,PTMSCFOODS1F_YR1_2024/5,7.0
6hrs per day,PTMSCFOODS1F_YR1_2024/5,16.0
Clash,PTMSCFOODS2P_YR1_2024/5,7.0
6hrs per day,PTMSCFOODS2P_YR1_2024/5,13.0
Clash,PTMSCFOODS2P_YR2_2024/5,7.0
6hrs per day,PTMSCFOODS2P_YR2_2024/5,9.0
Clash,PTMSCFOODS3P_YR1_2024/5,1.0
Clash,PTMSCFOODS3P_YR2_2024/5,7.0
6hrs per day,PTMSCFOODS3P_YR2_2024/5,9.0
Clash,PTMSCGEOEN1F_YR1_2024/5,2.0
Clash,PTMSCGEOEN1P_YR1_2024/5,2.0
Clash,PTMSCGEOEN1P_YR2_2024/5,1.0
6hrs per day,PTMSCGISCI1F_YR1_2024/5,1.0
Clash,PTMSCGISCI1F_YR1_2024/5,3.0
6hrs per day,PTMSCGISCI1P_YR1_2024/5,3.0
Clash,PTMSCGISCI1P_YR1_2024/5,4.0
Clash,PTMSCGISCI1P_YR2_2024/5,2.0
Clash,PTMSCGISCI2P_YR1_2024/5,2.0
Clash,PTMSCGISCI2P_YR2_2024/5,2.0
Clash,PTMSCGLCJS1F_YR1_2024/5,4.0
